# group, type, basis, action, comment

proxy_list, SUFFIX, amazon.co.jp, jp_proxy, amazon_jp
proxy_list, SUFFIX, book.com.tw, us_proxy, books
proxy_list, SUFFIX, books.com.tw, us_proxy, books
proxy_list, SUFFIX, line-scdn.net, AUTO, Line
proxy_list, KEYWORD, telegram, kr_proxy, telegram
proxy_list, KEYWORD, google, us_proxy, google
proxy_list, KEYWORD, wikipedia, us_proxy, wikipedia
proxy_list, KEYWORD, pixiv, jp_proxy, pixiv
proxy_list, KEYWORD, pximg, jp_proxy, pixiv
proxy_list, KEYWORD, ehtracker, AUTO, exhentai
proxy_list, KEYWORD, facebook, us_proxy, facebook
proxy_list, KEYWORD, fbcdn, us_proxy, facebook
proxy_list, KEYWORD, twitter, us_proxy, twitter
proxy_list, KEYWORD, twimg, us_proxy, twitter
proxy_list, KEYWORD, steam, AUTO, steam
proxy_list, KEYWORD, rarbg, AUTO, RARBG
